36|Chattagram Metropolitan Hashpatal Limited|Hospital|Chattogram|Chattogram|698/752, O.R. Nizam Road, Chattogram, Bangladesh|Unknown|Md. Amanullah aman: 01844-010546 Hotline: 01814-651077|698/752, O.R. Nizam Road, Chattogram, Bangladesh|nfo@ctgmhpl.com
37|Chevron Clinical Laboratory â€“ Anowara|Diagnostic Center|Chattogram|Bandarban|Amin Complex, 2nd Fl, Chaturi Chowmuhuni, CUFL Rd, Anowara|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876, Hotline: 01755666944|Amin Complex, 2nd Fl, Chaturi Chowmuhuni, CUFL Rd, Anowara|marketing@chevronlab.com
38|Chevron Clinical Laboratory â€“ Bandar Tilla|Diagnostic Center|Chattogram|Chattogram|2468/2469 S. Halishahar, Airport Rd, Bandar Tilla, Ctg|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876 , Helpline: 01777777090|2468/2469 S. Halishahar, Airport Rd, Bandar Tilla, Ctg|marketing@chevronlab.com
39|Chevron Clinical Laboratory Boalkhali|Diagnostic Center|Chattogram|Chattogram|Mannan Tower, Gomdandi City Market, Boalkhali, Ctg|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876|Mannan Tower, Gomdandi City Market, Boalkhali, Ctg|marketing@chevronlab.com
40|Chevron Clinical Laboratory Cox's Bazaar|Diagnostic Center|Chattogram|Cox's Bazar|698 Hospital Road, Cox's Bazar|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|698 Hospital Road, Cox's Bazar|marketing@chevronlab.com
41|Chevron Clinical Laboratory Feni|Diagnostic Center|Chattogram|Feni|J.B.K. Tower, Trunk Road, Beside Boro Masjid, Feni|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|J.B.K. Tower, Trunk Road, Beside Boro Masjid, Feni|marketing@chevronlab.com
42|Chevron Clinical Laboratory Halishahar|Diagnostic Center|Chattogram|Chattogram|Halishahar Housing Estate, Boropool Mor, Chittagong|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876|Halishahar Housing Estate, Boropool Mor, Chittagong|marketing@chevronlab.com
43|Chevron Clinical Laboratory Hatazari|Diagnostic Center|Chattogram|Chattogram|N Zahur Shopping Complex, Second Floor, Hatazari, Ctg|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|N Zahur Shopping Complex, Second Floor, Hatazari, Ctg|marketing@chevronlab.com
44|Chevron Clinical Laboratory Nazirhat|Diagnostic Center|Chattogram|Chattogram|Nasir Bhaban, Zhankar More, Nazirhat, Fhotikchori, Ctg|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|Nasir Bhaban, Zhankar More, Nazirhat, Fhotikchori, Ctg|marketing@chevronlab.com
45|Chevron Clinical Laboratory Potiya|Diagnostic Center|Chattogram|Chattogram|Kader Super Market, Hospital Road, Potiya, Chittagong|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|Kader Super Market, Hospital Road, Potiya, Chittagong|marketing@chevronlab.com
46|Chevron Clinical Laboratory Private Limited|Hospital|Chattogram|Chattogram|12/12 O R Nizam Road, Panchlaish, Chittagong - 4203 Bangladesh.|Unknown|Rajesh ghosh: 01755-666964 , Hotline: 031-652860, 2550642-45|12/12 O R Nizam Road, Panchlaish, Chittagong - 4203 Bangladesh.|info@chevronlab.com
47|Chevron Clinical Laboratory Rangamati|Diagnostic Center|Chattogram|Rangamati|128/16 Hossain Market, Bonorupa, Rangamati|Unknown|Md. Shakil (ASM): 01866-980873, 01866-980876.|128/16 Hossain Market, Bonorupa, Rangamati|marketing@chevronlab.com
48|Chevron Clinical Laboratory, Coxs'bazar|Hospital|Chattogram|Cox's Bazar|Hospital Road, Coxsbazar 4700 Cox's Bazar, Bangladesh|Unknown|Md. Shakil: 01866-980873, 01866- 980876 , Hotine: 01789-707030|Hospital Road, Coxsbazar 4700 Cox's Bazar, Bangladesh|marketing@chevronlab.com
49|City Digital Lab & Doctor's Chamber|Diagnostic Center|Chattogram|Feni|New Super Market, Dakbangla Road Chagolnaiya Feni|Unknown|Pathological Tests -40% Radiology & Imaging - 20% Discount in Outdoor Services N/A 01840329496|New Super Market, Dakbangla Road Chagolnaiya Feni|N/A
50|City Health Services Ltd|Diagnostic Center|Dhaka|Dhaka|772/1-A, Basila Road (Near Mour Vila) Mohammadpur, Dhaka-1207|Unknown|Pathological Tests - 35% Radiology & Imaging-20% N/A Nifaz fatema yeamin: 01672092203|772/1-A, Basila Road (Near Mour Vila) Mohammadpur, Dhaka-1207|N/A
51|City Hospital Limited, Dhaka|Hospital|Dhaka|Dhaka|1/8, Block-E, Lalmatia, Satmosjid Road, Mohammadpur, Dhaka – 1207|Unknown|Monirul Islam: 01712-577101, Hotline: 01551-244159 ,01672-092203|1/8, Block-E, Lalmatia, Satmosjid Road, Mohammadpur, Dhaka – 1207|cityhosp.emarketing@gmail.com
52|Comilla Trauma Center|Hospital|Chattogram|Cumilla|511, Nazrul Avenue, Ranir Bazar Road, Kandirpar, Cumilla|Unknown|Syedur Rob: 01768-239330, Hotline: 01735-274020|511, Nazrul Avenue, Ranir Bazar Road, Kandirpar, Cumilla|comillatraumacenter@gmail.com
53|Concord Diagnostics & Molecular Lab Ltd|Diagnostic Center|Dhaka|Dhaka|4/1/A (7th Floor, Navana Newbury place, Sobhanbag Mirpur Rd, Dhaka 1207|Unknown|Hotline number - 09606-213233|4/1/A (7th Floor, Navana Newbury place, Sobhanbag Mirpur Rd, Dhaka 1207|anzule.dmfr@gmail.com
54|Continental Hospital PLC|Hospital|Dhaka|Dhaka|Plot No.# 15, Road No.# 71, Gulshan-2, Dhaka-1212|Unknown|01914-001403, 01914-001214|Plot No.# 15, Road No.# 71, Gulshan-2, Dhaka-1212|syed.masum@uhlbd.com
55|Dagonbhuiyan Diabetic Hospital|Hospital|Chattogram|Feni|Chowmuhani Road, Dagonbhuiyan, Feni, Bangladesh|Unknown|Arafat Hossain: 01734-613480 , Hotline: 01839-979190, 018177- 32042|Chowmuhani Road, Dagonbhuiyan, Feni, Bangladesh|ddcentercm2011@gmail.com
56|Delta Hospital Limited, Mirpur|Hospital|Dhaka|Dhaka|26/2, Principal Abul Kashem Road, Mirpur- 1, Dhaka-1216.|Unknown|Hotline: 02-41002132 , Arshad: 01897-672034 , Ershadul: 01743- 805283|26/2, Principal Abul Kashem Road, Mirpur- 1, Dhaka-1216.|delta@delta-hospital.com
57|DESHBONDHU HOSPITAL & DIAGNOSTIC CENTER Tangail|Hospital|Dhaka|Tangail|Mymenshing Rd (Near Water Tank), Sabalia, Tangail 1900|Unknown|Kabir Hossain: 01758-822190 , Contact: 01758-835102|Mymenshing Rd (Near Water Tank), Sabalia, Tangail 1900|khnaeem89@gmail.com
58|Dhaka Central International Medical College Hospital (DCIMCH)|Hospital|Dhaka|Dhaka|2/1 Ring Road, Shyamoli, Mohammadpur, Dhaka-1207, Bangladesh|Unknown|Abdur Rahman: 01712-359933, Hotline: 01409-967351, 01409- 967353|2/1 Ring Road, Shyamoli, Mohammadpur, Dhaka-1207, Bangladesh|mohammadarahman1522@gmail.com
59|Divine Mercy Hospital Ltd|Hospital|Dhaka|Gazipur|Mothbari, Ulokhola, Nagori, Kaliganj Gazipur|Unknown|09678-777895|Mothbari, Ulokhola, Nagori, Kaliganj Gazipur|divinemercyhospital@gmail.com
60|DOCTORS HOSPITAL & CARDICARE DIAGNOSTIC CENTRE Nilphamari|Hospital|Rangpur|Nilphamari|Zomuna lane, Bangalipur-Nizpara, Saidpur, Nilphamari|Unknown|Tahmid: 01712-029115 , Contact: 0552671453|Zomuna lane, Bangalipur-Nizpara, Saidpur, Nilphamari|doctorshospital2013@gmail.com
61|Dr Lal PathLabs Bangladesh Pvt. Ltd. Barishal Collection Center|Diagnostic Center|Barishal|Barishal|City Plaza Market (2nd Floor), Room No- 357 , Kakolir Mor, Sadar Road, Barishal|Unknown|Pathological Tests - 20% N/A Shishir Ibne ahsan (ASM) Mobile: 01885-998042|City Plaza Market (2nd Floor), Room No- 357 , Kakolir Mor, Sadar Road, Barishal|N/A
62|Dr Lal PathLabs Bangladesh Pvt. Ltd. Bogura Collection Center|Diagnostic Center|Rajshahi|Bogura|Thalassema Care And Research Center Dr. Surazith Sarkar Titas , Bogura|Unknown|Pathological Tests - 20% N/A Shishir Ibne ahsan (ASM) Mobile: 01885-998042|Thalassema Care And Research Center Dr. Surazith Sarkar Titas , Bogura|N/A
63|Dr Lal PathLabs Bangladesh Pvt. Ltd. Habiganj Collection Center|Diagnostic Center|Sylhet|Habiganj|Habiganj|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042, 01772-330909|Habiganj|N/A
64|Dr Lal PathLabs Bangladesh Pvt. Ltd. Hatirpul Collection Center|Diagnostic Center|Dhaka|Dhaka|The Pathlabs 45, Sonargaon Road,Jahanara Bhaban (1st Floor) Opposite Motalib Plaza, Hatirpool Dhaka- 1205|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042, 01885-998018|The Pathlabs 45, Sonargaon Road,Jahanara Bhaban (1st Floor) Opposite Motalib Plaza, Hatirpool Dhaka- 1205|N/A
65|Dr Lal PathLabs Bangladesh Pvt. Ltd. Khulna Collection Center|Diagnostic Center|Khulna|Khulna|18 B, Majid Sarani, Sonadanga, Khulna, Bangladesh.|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042|18 B, Majid Sarani, Sonadanga, Khulna, Bangladesh.|N/A
66|Dr Lal PathLabs Bangladesh Pvt. Ltd. Mirpur Collection Center|Diagnostic Center|Dhaka|Dhaka|Chand Plaza, 10 Darus Salam Road, Mirpur-1, Dhaka 1216|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042.|Chand Plaza, 10 Darus Salam Road, Mirpur-1, Dhaka 1216|N/A
67|Dr Lal PathLabs Bangladesh Pvt. Ltd. Noaganon Collection Center|Diagnostic Center|Dhaka|Dhaka|West panthapath, Dhaka|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042.|West panthapath, Dhaka|N/A
68|Dr Lal PathLabs Bangladesh Pvt. Ltd. Savar Collection Center|Diagnostic Center|Dhaka|Dhaka|B-118 Thana Road, Savar, Dhaka.|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042.|B-118 Thana Road, Savar, Dhaka.|N/A
69|Dr Lal PathLabs Bangladesh Pvt. Ltd. Shamoly Collection Center|Diagnostic Center|Dhaka|Dhaka|Rupayan Shelford, Shop-13 Ground Floor, Plot-23/6, Block-d Mirpur Road, Dhaka- 1207|Unknown|Pathological Tests - 20% N/A Shishir ibne ahsan (ASM) Mobile: 01885-998042.|Rupayan Shelford, Shop-13 Ground Floor, Plot-23/6, Block-d Mirpur Road, Dhaka- 1207|N/A
70|Dr Lal PathLabs Bangladesh Pvt. Ltd. Sylhet Collection Center|Diagnostic Center|Sylhet|Sylhet|Sylhet|Unknown|Pathological Tests - 20% N/A Biswarup rai: 01772-330909|Sylhet|N/A
71|Dr. Azmal Hospital LTD|Hospital|Dhaka|Dhaka|Plot NO#5, Road#4, Block#A, Section#6, Mirpur.-1216|Unknown|01937-016 227 , Call Us: 01844- 692567 ,01716-857717|Plot NO#5, Road#4, Block#A, Section#6, Mirpur.-1216|info@azmalhospital.com
72|Dr. Israt Jahan Specialized Hospital|Hospital|Dhaka|Kishoreganj|Bhairab - Kishoreganj Rd, Bhairab|Unknown|Pathological Tests - 25% Radiology & Imaging—15% Discount in Outdoor Services CASHLESS HOSPITALIZATION N/A 01877-334477|Bhairab - Kishoreganj Rd, Bhairab|N/A
73|Dr. Lal Path Labs Bangladesh Pvt. Ltd. Rajshahi Collection Center|Diagnostic Center|Rajshahi|Rajshahi|Cresent Speacialished Center Dr. Morshed Zamam Mia, Rajshahi.|Unknown|01885-998043|Cresent Speacialished Center Dr. Morshed Zamam Mia, Rajshahi.|customer.care@lalpathlabs.com
74|Dr. Lal Path Labs Bangladesh Pvt. Ltd. Collection & Information Center, Ctg|Diagnostic Center|Chattogram|Chattogram|Safehealth Center 76, Jalil Building (1st Floor) 2 No. Stair, Muradpur (Chawkbazar Road) Chattrogram.|Unknown|01885-998024|Safehealth Center 76, Jalil Building (1st Floor) 2 No. Stair, Muradpur (Chawkbazar Road) Chattrogram.|customer.care@lalpathlabs.com
75|Dr. Lal Path Labs Bangladesh Pvt. Ltd. Gazipur Collection Center|Diagnostic Center|Dhaka|Gazipur|BSH health care, Great wall City, Chandona chowrasta, Gazipur|Unknown|+880 1885 998 012|BSH health care, Great wall City, Chandona chowrasta, Gazipur|customer.care@lalpathlabs.com
